PuzzleId,Fen,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,MoveCount,Level,MateType,Instructions,Explanation
Vbgoo,rn5r/4p2p/p2p4/qp1P4/2p5/8/kbQN1PPP/1R3RK1 b - - 1 22,a5c3 b1a1,1872,80,91,12121,anastasiaMate mate mateIn1 middlegame oneMove pin,1,1,anastasiaMate,"Opponent's trapped King allows a forced mate, demonstrating decisive tactical priority.","A Rook traps the King on the edge, while a Knight cuts off his escape squares."
qD0bj,1K6/pp1r3p/4N1pk/1P2n3/4P3/8/8/5R2 b - - 8 46,d7e7 f1h1,1260,78,95,11675,anastasiaMate endgame master mate mateIn1 oneMove,1,1,anastasiaMate,"Black's exposed king invites a forcing checkmate attack, capitalizing on White's centralized knight and superior attacking position.","A Rook traps the King on the edge, while a Knight cuts off his escape squares."
dLuk9,8/p7/1r5P/k1QN1K2/3P1p2/5r2/P7/6q1 b - - 6 60,b6b5 c5a7,1854,85,92,9659,anastasiaMate endgame master mate mateIn1 oneMove,1,1,anastasiaMate,White's concentrated Queen and Knight attack overpowers Black's exposed King on a5.,"A Rook traps the King on the edge, while a Knight cuts off his escape squares."
GHMsU,r7/p4r1k/1pp1N1pQ/3p1P2/3Pb1P1/R7/PP5P/6K1 b - - 0 30,h7h6 a3h3,1462,77,95,8366,anastasiaMate endgame mate mateIn1 oneMove,1,1,anastasiaMate,Black's king is fatally exposed to a forcing attack by White's coordinated heavy pieces.,"A Rook traps the King on the edge, while a Knight cuts off his escape squares."
nitK6,3r4/7p/p5p1/4P3/2n5/kp1N2P1/4KP1P/3R4 b - - 2 42,c4e5 d1a1,1378,83,86,8301,anastasiaMate endgame mate mateIn1 oneMove,1,1,anastasiaMate,Black's exposed king on a3 allows a forced win.,"A Rook traps the King on the edge, while a Knight cuts off his escape squares."
LYPEX,r3q1r1/1pp1n3/p2bNQ1k/2p1p3/4P1P1/3P3P/PPP2P2/R3K2R b KQ - 2 18,g8g6 f6h4,1647,80,90,8032,anastasiaMate mate mateIn1 middlegame oneMove,1,1,anastasiaMate,"The Black King is critically exposed on h6, allowing White to launch a forced, decisive attack with the coordinated Queen and Knight.","A Rook traps the King on the edge, while a Knight cuts off his escape squares."
xw6Fy,8/4NQpk/7p/8/2n5/2bqP2P/5PP1/6K1 b - - 3 35,h6h5 f7h5,1553,86,88,8027,anastasiaMate endgame master mate mateIn1 oneMove,1,1,anastasiaMate,"Black's exposed king allows White's concentrated pieces to deliver a forcing, decisive attack.","A Rook traps the King on the edge, while a Knight cuts off his escape squares."
zvgCL,3q3k/p6p/6p1/8/5R2/1Q2B3/P3n1PK/b7 w - - 0 27,f4f7 d8h4,1078,79,95,12582,anastasiaMate endgame mate mateIn1 oneMove,1,1,anastasiaMate,"The Black king is dangerously exposed and trapped on h8, allowing White's coordinated forces to initiate a decisive checkmate sequence.","A Rook traps the King on the edge, while a Knight cuts off his escape squares."
YUYuT,Q1b3k1/p4R1p/1p1pq3/2p3p1/2P1B3/1P4P1/P3n1PK/8 w - - 0 33,e4d5 e6h6,1316,75,97,12825,anastasiaMate endgame mate mateIn1 oneMove,1,1,anastasiaMate,White has a forced checkmate due to Black's exposed king and poor defense.,"A Rook traps the King on the edge, while a Knight cuts off his escape squares."
zmXjq,2r1nr1k/q3NppQ/8/2b1p3/4P3/2R5/3B1PPP/4R1K1 b - - 0 30,h8h7 c3h3,1004,88,93,12664,anastasiaMate master mate mateIn1 middlegame oneMove,1,1,anastasiaMate,"Black's exposed king is forced to capture the queen, allowing a direct checkmate that emphasizes calculating forced sequences.","A Rook traps the King on the edge, while a Knight cuts off his escape squares."
mV4nO,2Q4k/2p3rp/p4Nn1/1p6/2q5/3n1P2/P2K4/7R b - - 11 44,g7g8 h1h7,1348,75,96,25252,arabianMate master mate mateIn1 middlegame oneMove,1,1,arabianMate,"Black's exposed king and scattered pieces let White leverage concentrated material for a forced, decisive attack.","A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
H9otv,r4r1k/pbqp1pbp/1p2pNP1/4Pn2/2PnQ3/P4N2/1P1B1PP1/R3KB1R b KQ - 0 18,b7e4 h1h7,1416,78,93,17991,arabianMate kingsideAttack mate mateIn1 middlegame oneMove,1,1,arabianMate,"The exposed Black king allows a quick, forcing mating attack.","A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
1DZfz,7k/2p2R1p/1p2pN2/p4p2/4b3/1P6/1PPK1P2/6r1 b - - 4 32,g1g2 f7h7,1058,77,95,16431,arabianMate endgame mate mateIn1 oneMove,1,1,arabianMate,"Your pieces form a decisive net around the exposed black king, guaranteeing checkmate.","A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
iyK7s,8/pppR1Ppk/8/5N2/5b2/P4nPP/1Pr5/7K w - - 1 38,f7f8q c2h2,1171,79,94,16026,arabianMate endgame master mate mateIn1 oneMove,1,1,arabianMate,"Black's king is exposed and your powerful queen promotion creates a decisive, forcing mate attack.","A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
2RS3j,6k1/R6p/4pNp1/8/1n6/6P1/5PKP/q1r5 b - - 1 45,g8h8 a7h7,1069,86,94,15991,arabianMate endgame mate mateIn1 oneMove,1,1,arabianMate,"The opponent's King is severely exposed and undefended, enabling the user's immediate, concentrated attack for checkmate.","A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
UAdd2,5Nk1/1Rp3p1/1p5p/3p3P/6P1/5n2/1r6/2R4K w - - 4 50,c1c7 b2h2,1091,83,95,15732,arabianMate endgame master mate mateIn1 oneMove,1,1,arabianMate,"Black's vulnerable king and White's coordinated pieces demand an immediate, forcing checkmate to neutralize Black's serious counter-threats.","A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
wn3Q6,r6k/1pp2pRp/1b2bN1p/p1p1P3/P2r1Q1N/7P/1PP2PP1/6RK b - - 0 25,d4f4 g7h7,1316,77,93,15497,arabianMate kingsideAttack mate mateIn1 middlegame oneMove,1,1,arabianMate,The exposed black king is instantly lost to your coordinated attack.,"A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
fhNQQ,8/N2Rb1kp/1P3pp1/8/1P1B4/2P2n2/4r3/7K w - - 1 43,a7c6 e2h2,1049,88,94,13639,arabianMate endgame mate mateIn1 oneMove,1,1,arabianMate,The opponent's lack of king safety and White's highly active pieces demand an immediate forcing combination.,"A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
27VpM,7k/pp2PR1B/7p/3p4/P2P4/2n1nN2/6rP/1K6 w - - 3 45,b1a1 g2a2,1390,79,91,13462,arabianMate endgame mate mateIn1 oneMove,1,1,arabianMate,"Black's exposed king and the threat from your e7 pawn demand a forced, winning attack with your coordinated pieces.","A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
yXWOk,2k3r1/pR5Q/1p1qp3/2p1p3/2P1P3/2NP1n1P/PP4r1/5R1K w - - 2 25,c3e2 g2h2,1223,76,96,26785,arabianMate mate mateIn1 middlegame oneMove,1,1,arabianMate,"Black's king is exposed to White's powerful attack, requiring a forced sequence to secure the win.","A Knight protects a Rook in the corner; the Rook does the hitting, the Knight does the guarding."
lZsqt,4rr1k/pp1b2p1/2pb4/3p4/3P1q2/5B2/PP1Q1PPP/R1B1R1K1 w - - 8 24,d2f4 e8e1,1297,76,96,12112,backRankMate hangingPiece mate mateIn1 middlegame oneMove,1,1,backRankMate,Black's overextended Queen allows a winning material exchange that exploits a latent back-rank weakness.,"The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
Q5UDb,r1b2rk1/pp1q2pp/3p4/3BN3/4P1n1/1nN1P3/PP4PP/R4RK1 b - - 0 16,g8h8 f1f8,1268,76,95,11112,backRankMate hangingPiece mate mateIn1 middlegame oneMove,1,1,backRankMate,"Attack is warranted because Black's exposed king and misplaced pieces allow a forcing, decisive combination.","The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
UZnyd,6k1/1p3ppp/p2B4/4pP2/4P3/P2R4/1P4PP/2rb3K w - - 0 28,d3c3 d1c2,1592,81,94,17954,backRankMate discoveredAttack discoveredCheck endgame master mate mateIn1 oneMove,1,1,backRankMate,Black's restricted pieces allow White's active Rook and Bishop to force a decisive attack.,"The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
CIjum,qn2kb1r/3b2pp/4pn2/2p1Np2/p1Qp4/3P2P1/PP1BPP1P/R3K2R w KQk - 0 15,e5d7 a8h1,1397,82,93,16399,backRankMate hangingPiece mate mateIn1 middlegame oneMove,1,1,backRankMate,Black's exposed major pieces allow White to use a decisive knight fork to secure a winning material advantage.,"The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
lvPZK,3r1r2/6k1/4Q1p1/1N6/1p4nR/8/PPP1b3/1K3qR1 w - - 1 34,g1f1 f8f1,1331,79,93,15598,backRankMate mate mateIn1 middlegame oneMove,1,1,backRankMate,White has a forcing checkmate against Black's exposed King. Attacking is right to improve tactical calculation and checkmate pattern recognition.,"The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
D9EKz,6k1/p2N1ppp/4p3/3p3q/2p2Q2/P7/6PP/2r2B1K b - - 0 30,h5d1 f4b8,1210,76,95,14898,backRankMate endgame mate mateIn1 oneMove,1,1,backRankMate,"Opponent's exposed king and scattered defenses allow for a quick, decisive attack.","The King is trapped behind his own Pawns like a wall, and a Rook or Queen strikes the back row."
